t=2026-08-13T00:05:38-0600 lvl=info msg="no configuration paths supplied"
t=2026-08-13T00:05:38-0600 lvl=info msg="using configuration at default config path" path="/Users/nandoflores/Library/Application Support/ngrok/ngrok.yml"
t=2026-08-13T00:05:38-0600 lvl=info msg="open config file" path="/Users/nandoflores/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-08-13T00:05:38-0600 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-08-13T00:05:39-0600 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-08-13T00:05:39-0600 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-13T00:05:39-0600 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-08-13T00:05:39-0600 lvl=info msg="update available" obj=updater
t=2026-08-13T00:05:39-0600 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8550 url=https://unincidental-lustfully-sharda.ngrok-free.dev
t=2026-08-13T00:05:47-0600 lvl=info msg=start pg=/api/tunnels id=171376e2ae0872fd
t=2026-08-13T00:05:47-0600 lvl=info msg=end pg=/api/tunnels id=171376e2ae0872fd status=200 dur=325.375µs
t=2026-08-13T00:06:34-0600 lvl=info msg="join connections" obj=join id=be7aa7fdfca8 l=127.0.0.1:8550 r=[2806:106e:20:263e:fd9d:663:35c0:6ec5]:61990
t=2026-08-13T00:08:01-0600 lvl=info msg="join connections" obj=join id=ed79c5972aaf l=127.0.0.1:8550 r=[2806:106e:20:263e:fd9d:663:35c0:6ec5]:52725
t=2026-08-13T00:08:01-0600 lvl=info msg="join connections" obj=join id=13efd24645ff l=127.0.0.1:8550 r=[2806:106e:20:263e:fd9d:663:35c0:6ec5]:52725
t=2026-08-13T00:08:24-0600 lvl=info msg="join connections" obj=join id=d1959dfddfa2 l=127.0.0.1:8550 r=[2806:106e:20:263e:fd9d:663:35c0:6ec5]:52766
t=2026-08-13T00:08:24-0600 lvl=info msg="join connections" obj=join id=d1dc51da8a41 l=127.0.0.1:8550 r=[2806:106e:20:263e:fd9d:663:35c0:6ec5]:52766
t=2026-08-13T00:08:34-0600 lvl=info msg="join connections" obj=join id=f363c911d5a2 l=127.0.0.1:8550 r=[2806:106e:20:263e:fd9d:663:35c0:6ec5]:52766
t=2026-08-13T00:08:34-0600 lvl=info msg="join connections" obj=join id=dbeffff9e384 l=127.0.0.1:8550 r=[2806:106e:20:263e:fd9d:663:35c0:6ec5]:52766
t=2026-08-13T00:08:34-0600 lvl=info msg="join connections" obj=join id=221f13a09e68 l=127.0.0.1:8550 r=[2806:106e:20:263e:fd9d:663:35c0:6ec5]:52766
t=2026-08-13T00:08:34-0600 lvl=info msg="join connections" obj=join id=17fa1a0795cd l=127.0.0.1:8550 r=[2806:106e:20:263e:fd9d:663:35c0:6ec5]:52766
t=2026-08-13T00:08:34-0600 lvl=info msg="join connections" obj=join id=ff1fd1716b08 l=127.0.0.1:8550 r=[2806:106e:20:263e:fd9d:663:35c0:6ec5]:52766
t=2026-08-13T00:08:34-0600 lvl=info msg="join connections" obj=join id=f4ec725c0fae l=127.0.0.1:8550 r=[2806:106e:20:263e:fd9d:663:35c0:6ec5]:52766
t=2026-08-13T00:08:34-0600 lvl=info msg="join connections" obj=join id=e717cab1ae41 l=127.0.0.1:8550 r=[2806:106e:20:263e:fd9d:663:35c0:6ec5]:52766
t=2026-08-13T00:08:34-0600 lvl=info msg="join connections" obj=join id=7d90c1afad2c l=127.0.0.1:8550 r=[2806:106e:20:263e:fd9d:663:35c0:6ec5]:52766
t=2026-08-13T00:08:34-0600 lvl=info msg="join connections" obj=join id=ed3d01f8bc85 l=127.0.0.1:8550 r=[2806:106e:20:263e:fd9d:663:35c0:6ec5]:52766
t=2026-08-13T00:08:34-0600 lvl=info msg="join connections" obj=join id=944391897e49 l=127.0.0.1:8550 r=[2806:106e:20:263e:fd9d:663:35c0:6ec5]:52766
t=2026-08-13T00:08:34-0600 lvl=info msg="join connections" obj=join id=bff903abc0c8 l=127.0.0.1:8550 r=[2806:106e:20:263e:fd9d:663:35c0:6ec5]:52766
t=2026-08-13T00:08:34-0600 lvl=info msg="join connections" obj=join id=e0b267ee1ef1 l=127.0.0.1:8550 r=[2806:106e:20:263e:fd9d:663:35c0:6ec5]:52766
t=2026-08-13T00:08:34-0600 lvl=info msg="join connections" obj=join id=aae3e864bf06 l=127.0.0.1:8550 r=[2806:106e:20:263e:fd9d:663:35c0:6ec5]:52766
